name,actual_price,discount_price,rating
"DELL LATITUDE 3189,X360 INTEL PENTIUM,8GB RAM,128GB SSD TOUCH +MOUSE WIN 11","₦ 200,000","₦ 199,000",3.7 out of 5(3)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 502,999","₦ 360,000",4.6 out of 5(5)
Hp Laptop 15 INTEL CELERON Quad Core 8GB RAM -1TB HDD Windows 11 + USB Light For Keyboard,"₦ 401,999","₦ 348,000",5 out of 5(4)
"itel Able 1 Intel® Celeron™ N3350, 4GB RAM 1TB HDD 14"" Wins 10+ Free Wireless Mouse","₦ 178,950","₦ 164,950",
Hp Stream 11 Intel Celeron 4GB RAM-64GB SSD WIN 10+Flash LIGHT,"₦ 150,000","₦ 140,000",3.9 out of 5(10)
"Hp PAVILION GAMING 15 11TH GEN INTEL CORE I5 8GB RAM 512GB SSD RTX 3050 15.6"" FHD WINS 11","₦ 948,000","₦ 890,000",
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,"₦ 120,000","₦ 105,000",
"Lenovo IDEAPAD SLIM 1 INTEL CELERON 4GB RAM 128 GB EMMC 11.6"" HD WINS 10+ Mouse","₦ 191,250","₦ 175,000",4.5 out of 5(4)
Hp 14 Intel Celeron N4020 8GB RAM/1TB HDD Win 10 +Keyboard Led Lamp & Mouse,"₦ 269,900","₦ 240,556",3 out of 5(2)
Lenovo Ideapad Intel Celeron 4GB RAM 1TB HDD Wins 10 Pro+ Mouse,,"₦ 193,900",4.5 out of 5(2)
Hp Ideapad 15 Inch Intel® Celeron® 4GB RAM DDR4 - 256 SSD Windows 11 +USB LIGHT & 32GB Flash,"₦ 650,000","₦ 250,000",
"Hp 14 Intel Celeron N4020 8GB RAM 1TB HDD 14"" Wins 10 + Mouse","₦ 260,000","₦ 239,600",4 out of 5(15)
Hp ProBook 11 G1 X360 Convertible Intel Pentium Laptop 4GB RAM 256G Touchscreen With Laptop Pouch,,"₦ 165,000",
Hp CHROMEBOOK 11 TOUCH INTEL CELERON 4GB RAM 16GB SSD,,"₦ 130,000",1 out of 5(4)
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 210,000","₦ 170,000",3.5 out of 5(4)
"Hp PROBOOK 11 X360, TOUCHSCREEN, 4GB RAM, 128GB SSD, INTEL PENTIUM, Windows 10  + Keyboard Flashlight","₦ 210,000","₦ 180,000",
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 200,000","₦ 165,000",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 600,000","₦ 375,000",4.5 out of 5(4)
Hp Stream 11 PRO Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 11 PRO+ USB Light For Keyboard,"₦ 120,000","₦ 107,000",
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,32GB WINDOWS 10",,"₦ 95,000",
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,"₦ 300,000","₦ 103,000",5 out of 5(2)
Lenovo Ideapad Intel Celeron N4000  4GB RAM 500GB HDD Wins 10,"₦ 197,000","₦ 185,000",4.4 out of 5(10)
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,16GB WINDOWS 10","₦ 125,000","₦ 90,000",4 out of 5(1)
DELL Latitude 3189 X360 INTEL PENTIUM 512GB SSD 4GB Touchscreen 10 Pro+pouch,"₦ 280,000","₦ 200,000",
"DELL LATITUDE 3150 INTEL PENTIUM, 8GB RAM,500GB HDD WIN 11+ Light","₦ 200,000","₦ 165,000",
Hp Stream 11-Intel Celeron 32gb Ssd/2gb Ram+ 32GB Flash,"₦ 110,000","₦ 106,000",5 out of 5(1)
DELL Latitude 3189 X360 INTEL PENTIUM 128GB SSD 4GB WIN 10 Pro+pouch,"₦ 160,000","₦ 135,000",
Hp Stream 11 Intel Celeron 4GB RAM 64GB SSD WIN 10,"₦ 150,000","₦ 130,000",3.5 out of 5(4)
"Hp CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM,64GB SSD + FLASH",,"₦ 95,000",
"Hp ProBook X360 11 Touchscreen Core I5-8GB DDR4, 256GB SSD Win 10 Pro",,"₦ 320,000",
Hp Stream 11 PRO Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD & MOUSE,"₦ 165,000","₦ 130,000",
Latitude E7450 Refurbished 8GB 500GB Core I5-5200U,"₦ 390,000","₦ 380,000",
Lenovo IDEAPAD 15- INTEL CORE I3 -20GB RAM- 512GB SSD- WINDOWS 10 PRO + Mouse,"₦ 320,000","₦ 280,000",
Lenovo IDEAPAD 15- INTEL CORE I3 -20GB RAM- 1TB HDD- WINDOWS 11 PRO + Mouse,"₦ 320,000","₦ 280,000",
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ MOUSE,"₦ 200,900","₦ 103,500",4.1 out of 5(10)
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,,"₦ 120,000",
"DELL LATITUDE 3150, INTEL PENTIUM, 8GB RAM,500GB HDD","₦ 300,000","₦ 165,000",
15 Inch Portable Triple-screen Monitor Laptop Expansion,"₦ 650,101 - ₦ 1,167,345","₦ 390,061 - ₦ 700,407",
"Hp ProBook X360 11 Touchscreen Core I5-8GB DDR4, 256GB SSD Win 10 Pro",,"₦ 320,000",
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,,"₦ 375,000",1 out of 5(1)
Hp EliteBook 840 Intel Core I7- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 750,000","₦ 515,000",5 out of 5(2)
"Asus 2023 14"" PC Intel Celeron N4020 4GB RAM-256GB SSD,BACKLIT CHICLET KEYBOARD,WIN 11 2 WARRANTY","₦ 268,000","₦ 248,000",
Lenovo Ideapad 4GBRAM/500 HDD Intel Celeron Dual Core Windows 10 +free Mouse,"₦ 215,000","₦ 187,000",4.3 out of 5(92)
"Hp Stream11Intel Celeron 32gb Mmc,2gb RAM 0+32 Flash Mouse","₦ 120,000","₦ 95,000",3 out of 5(1)
Hp CHROMEBOOK 11 CELERON 4GB RAM 16GB WINS 10,"₦ 140,000","₦ 99,999",4.7 out of 5(3)
DELL Latitude 3350 Core I3 256GB SSD 8GB RAM Wins 10 + Mouse,,"₦ 250,000",5 out of 5(1)
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,"₦ 138,000","₦ 130,000",
Lenovo Ideapad  Intel Celeron 1TB HDD 4GB RAM Win 10 PRO + Free Bag,"₦ 219,900","₦ 197,800",4.3 out of 5(4)
"Hp 15 Intel Pentium Gold 4GB RAM, 500GB HDD Windows 10 + FREE 16GB Flash Drive","₦ 290,000","₦ 278,000",
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD - WIN 10+ USB Light For Keyboard+ Mouse,"₦ 125,000","₦ 100,000",3.3 out of 5(3)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 600,000","₦ 370,000",4 out of 5(1)
Hp Probook 11X360 Touchsceen Intel Pentium 256gb Ssd /4gb Ram+32GB Flash Mouse,,"₦ 189,000",
Hp Stream 11 Intel Celeron 2gb Ram 32gb HDD Win 10+ Keyboard Flash Light,"₦ 160,000","₦ 150,000",
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 3050 WINS 11",,"₦ 910,000",
"Hp PROBOOK 11 X360, TOUCHSCREEN, 4GB RAM, 128GB SSD, INTEL PENTIUM, Windows 10  + Keyboard Flashlight","₦ 200,000","₦ 180,000",4.7 out of 5(3)
Hp VICTUS GAMING 15 12TH GEN INTEL CORE I7 16GB RAM 1TB SSD GTX 1650 (4GB) WINS 11,"₦ 1,220,000","₦ 1,150,900",
"DELL Latitude 3150 Intel Pentium 4GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 210,000","₦ 145,000",
DELL LATITUDE 5420 11TH GEN CI5 25GBSSD 16GB RAM TOUCH BACKLIT,,"₦ 670,800",
Hp Stream 11 Pro G5 Touchscreen Intel Celeron 4GB DDR4 RAM 128GB SSD + Bag,"₦ 180,000","₦ 130,000",5 out of 5(1)
DELL Vostro 15-inch Laptop- Intel Core I3- 8GB RAM 11th GEN 1TB HDD - Windows 11+USB Light For Keyboard,"₦ 590,000","₦ 489,999",5 out of 5(2)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
