name,actual_price,discount_price,rating,brand,processor,ram,storage_type,storage_size
"Hp 14 Intel Core I3-10110U (12gb Ram, 1TB HDD) 14"" Wins 10 + Mouse",399000.0,375700.0,4.3,Hp,Intel Core,,HDD,1TB
Hp Stream 11 Intel Celeron D C  4GB RAM- 64GB SSD WIN 10+ MOUSE,170000.0,103500.0,3.2,Hp,Intel Celeron,4GB RAM,SSD,4GB
Hp EliteBook 840 G5 Intel Core I5- TOUCH 12GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro,966000.0,400000.0,4.7,Hp,Intel Core,12GB RAM,SSD,12GB
Hp ProBook 11 X360- TOUCH- 256GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,300000.0,190000.0,4.1,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,256GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,375000.0,4.5,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Wins 11 Pro Laptop +BAG,750000.0,375000.0,3.8,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-8GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,580000.0,375000.0,4.5,Hp,Intel Core,8GB RAM,SSD,8GB
Hp ProBook 11 X360- TOUCH- 128GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,200000.0,190000.0,3.5,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,128GB
Lenovo Ideapad Intel Celeron 4GB Ram 500GB HDD)N 4000 Wins 10+ 32GB FLASH DRIVE,200500.0,185800.0,3.8,Lenovo,Intel Celeron,,HDD,4GB
Hp ProBook11 X360 ConvertibleTouchscreen Intel Celeron-4GB DDR4 256GB SSD Win 10 Pro + MOUSE,550000.0,165000.0,4.5,Hp,Intel Celeron,4GB DDR4,SSD,4GB
"Lenovo Ideapad Intel Celeron 4GB RAM 1TB HDD 15.6"" Wins 10pro+ Mouse",197000.0,183700.0,4.7,Lenovo,Intel Celeron,4GB RAM,HDD,4GB
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM 256GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,390000.0,360000.0,4.4,Hp,Intel Core,12GB RAM,SSD,12GB
Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse,170000.0,103500.0,4.8,Hp,Intel Celeron,4GB DDR4,SSD,64GB
"Hp PAVILION GAMING 15 11TH GEN INTEL CORE I5 8GB RAM 512GB SSD RTX 3050 15.6"" FHD WINS 11",930000.0,890000.0,4.6,Hp,,8GB RAM,SSD,8GB
"Hp 15 Touchscreen Intel Core I3-(8GB Ram,1TB HDD) Windows 10",425000.0,410000.0,4.4,Hp,Intel Core,,HDD,8GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro,669000.0,395000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro +MOUSE,450000.0,395000.0,4.1,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,493000.0,370000.0,4.3,Hp,Intel Core,12GB RAM,SSD,12GB
"Hp 14 10th Gen Intel Core I3 2.1 To 4.1Ghz (8gb Ram, 1TB HDD) Wins 10",377000.0,365000.0,4.4,Hp,Intel Core,,HDD,1TB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,600000.0,360000.0,3.5,Hp,Intel Core,16GB RAM,SSD,16GB
Hp Stream 11Celeron -64GB 4GB RAM Windows 10+ 32GB Flash Drive,125000.0,100000.0,3.7,Hp,,4GB RAM,,64GB
Hp Laptop 15 INTEL CELERON Quad Core 16GB RAM -1TB HDD Windows 11 + USB Light For Keyboard,356000.0,340000.0,4.3,Hp,Quad Core,16GB RAM,HDD,16GB
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD,690000.0,103000.0,3.3,Hp,Intel Celeron,4GB RAM,SSD,4GB
Hp ProBook 11 X360- TOUCH- 512GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,210000.0,190000.0,3.5,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,512GB
Hp Pavilion 14 2-in-1 11th Gen-Core-i3 512SSD 16GB  Touchscreen,840000.0,740000.0,4.5,Hp,,,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,580000.0,375000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp Stream 11 Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,180000.0,103500.0,4.3,Hp,Intel Celeron,4GB RAM,SSD,64GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,750000.0,550000.0,4.6,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,375000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5- TOUCH 8GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro,500000.0,370000.0,4.3,Hp,Intel Core,8GB RAM,SSD,8GB
"DELL Latitude 3160 Touch Screen Intel Celeron 4GB RAM, 128ssd  Windows 10 + Keyboard Flash Light",200000.0,135000.0,2.8,DELL,Intel Celeron,4GB RAM,,4GB
Hp EliteBook 840 G5 Intel Core I5- TOUCH 12GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro,700000.0,400000.0,3.9,Hp,Intel Core,12GB RAM,SSD,12GB
Hp 15 Touchscreen Intel Core I3-10110U 12GB RAM 1TB HDD Win 10,435000.0,419999.0,3.7,Hp,Intel Core,12GB RAM,HDD,12GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,750000.0,550000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
DELL Vostro 15-inch Laptop- Intel Core I3- 8GB RAM 11th GEN 512 SSD - Windows 11+USB Light For Keyboard,588000.0,489999.0,3.7,DELL,Intel Core,8GB RAM,SSD,8GB
Hp ProBook 11 X360- TOUCH- 128GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,200000.0,190000.0,4.1,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,128GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,500000.0,360000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,622999.0,515000.0,3.9,Hp,Intel Core,16GB RAM,SSD,16GB
Hp ProBook 11 X360- TOUCH- 256GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,200000.0,184000.0,3.9,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,256GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Wins 11 Pro Laptop +BAG,500000.0,375000.0,3.5,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,375000.0,4.1,Hp,Intel Core,16GB RAM,SSD,16GB
"Hp 250 G8 Intel Celeron N4020, 8GB RAM, 1TB HDD, 15.6"", Wins 10 + LED Lamp",275000.0,254900.0,4.4,Hp,Intel Celeron,8GB RAM,HDD,8GB
Hp ProBook 11 X360- TOUCH- 256GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,200000.0,184000.0,4.2,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,256GB
Hp ProBook 11 X360- TOUCH- 128GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,185000.0,184000.0,4.2,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,128GB
Hp EliteBook 840 G5 Intel Core I5- 12GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,590000.0,385000.0,4.2,Hp,Intel Core,12GB RAM,SSD,12GB
Hp EliteBook 840 G5 Intel Core I5-8GB RAM 512GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,600000.0,360000.0,4.3,Hp,Intel Core,8GB RAM,SSD,8GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,360000.0,4.5,Hp,Intel Core,16GB RAM,SSD,16GB
"Hp Pavilion 14 X360 Intel Core I3(8GB.,1TB)Touch,14.1-Inch"" Wins10",765000.0,740700.0,4.8,Hp,Intel Core,,,8GB
